village_name,district,taluk,latitude,longitude,sowing_date,loss_window_start,loss_window_end,season,year,pre_loss_ndvi,post_loss_ndvi,ndvi_change,ndvi_reliable,pre_loss_ndwi,post_loss_ndwi,s2_cloud_pct_pre,s2_cloud_pct_post,s1_vv_db_pre,s1_vh_db_pre,s1_vv_db_post,s1_vh_db_post,s1_fallback_used,actual_rainfall_mm,normal_rainfall_mm,rainfall_deficit_pct,drought_rainfall_flag,ksdma_officially_declared_drought,ksdma_drought_severity,crop_name,des_historical_avg_yield_kg_ha,des_current_yield_kg_ha,des_yield_loss_pct,pmfby_claims_reported,pmfby_claim_amount_inr,pmfby_sum_insured_inr,ndvi_supports_loss,rainfall_supports_drought,ksdma_supports_loss,yield_supports_loss,multimodal_verdict,fraud_label,fraud_confidence,fraud_reason,llm_explanation,llm_is_simulated
Hubballi Rural (Dharwad),Dharwad,Hubballi Rural,15.3647,75.124,2024-07-02,2024-08-26,2024-09-20,Kharif,2024,0.0731,-0.0098,,False,-0.0643,0.0171,100.0,100.0,-7.2,-13.47,-6.95,-13.35,1,605.2,454.31,-33.21,0,,,Rice,,1351.0,,3,110753.29,142000,FALSE,False,NO_DATA,NO_DATA,INCONCLUSIVE,MISMATCH,HIGH,"No significant SAR_VV change observed (delta=0.25, threshold=-0.5), contradicting crop loss claim.","NDVI was unreliable because cloud cover exceeded 50 %, so SAR VV backscatter was used as the vegetation proxy. The vegetation signal shows a change of 0.25 dB, while rainfall was 33.21 % below normal. No KSDMA drought declaration is",False
Kalghatgi (Dharwad),Dharwad,Kalghatgi,15.1833,74.9667,2024-07-05,2024-08-30,2024-09-24,Kharif,2024,0.0522,0.1917,,False,-0.0459,-0.1549,100.0,94.02,-6.65,-14.02,-6.87,-13.96,1,863.5,451.35,-91.31,0,,,Rice,,1351.0,,4,93089.35,162000,FALSE,False,NO_DATA,NO_DATA,INCONCLUSIVE,MISMATCH,HIGH,"No significant SAR_VV change observed (delta=-0.22, threshold=-0.5), contradicting crop loss claim.",The claim is labeled INCONCLUSIVE. Because NDVI was unreliable (cloud cover >50,False
Jewargi (Kalaburagi),Kalaburagi,Jewargi,17.0167,76.7833,2024-06-16,2024-08-08,2024-09-02,Kharif,2024,0.0127,0.4923,,False,-0.0051,-0.434,100.0,37.22,-10.25,-19.17,,,1,724.5,375.17,-93.11,0,,,Rice,,2563.0,,1,43326.69,50000,NO_DATA,False,NO_DATA,NO_DATA,INCONCLUSIVE,INCONCLUSIVE,LOW,NDVI is cloud-contaminated (ndvi_reliable=False) and no SAR VV/VH fallback data is available. Cannot evaluate vegetation loss.,,False
Chittapur (Kalaburagi),Kalaburagi,Chittapur,17.1167,76.65,2024-06-14,2024-08-06,2024-09-01,Kharif,2024,0.0143,0.4023,,False,-0.0078,-0.3593,100.0,57.52,-8.29,-19.31,-9.78,-18.8,1,669.5,378.82,-76.73,0,,,Rice,,2563.0,,3,82970.12,142000,FALSE,False,NO_DATA,NO_DATA,INCONCLUSIVE,INCONCLUSIVE,LOW,"Signals are mixed, partially missing, or do not cross deterministic thresholds for confident classification.",,False
Shahabad (Kalaburagi),Kalaburagi,Shahabad,17.3333,76.9333,2024-06-20,2024-08-12,2024-09-08,Kharif,2024,0.1047,0.4997,,False,-0.1057,-0.4674,95.72,0.38,-10.79,-20.78,,,1,717.4,436.44,-64.38,0,,,Rice,,2563.0,,2,59572.12,92000,NO_DATA,False,NO_DATA,NO_DATA,INCONCLUSIVE,INCONCLUSIVE,LOW,NDVI is cloud-contaminated (ndvi_reliable=False) and no SAR VV/VH fallback data is available. Cannot evaluate vegetation loss.,The claim is marked incon,False
Hagaribommanahalli (Bellary),Bellary,Hagaribommanahalli,15.0383,76.2117,2024-07-06,2024-08-28,2024-09-24,Kharif,2024,0.0767,0.3796,,False,-0.0792,-0.367,100.0,79.75,-8.73,-15.26,-9.4,-15.89,1,408.8,288.53,-41.68,0,,,Rice,,4113.0,,2,41516.2,77000,FALSE,False,NO_DATA,NO_DATA,INCONCLUSIVE,INCONCLUSIVE,LOW,"Signals are mixed, partially missing, or do not cross deterministic thresholds for confident classification.","The claim is labeled INCONCLUSIVE. Because NDVI was unreliable (cloud cover >50 %), SAR VV backscatter was used as the vegetation proxy, indicating a vegetation change value of –0.67 dB. The rainfall deficit was –41.68 %, and no KSDMA drought declaration or DES historical",False
Kudligi (Bellary),Bellary,Kudligi,14.9033,76.3867,2024-07-08,2024-09-01,2024-09-28,Kharif,2024,0.0162,0.0128,,False,0.0091,-0.0038,100.0,100.0,-6.57,-15.3,-7.52,-15.81,1,481.2,350.05,-37.47,0,,,Rice,,4113.0,,3,85479.76,119000,FALSE,False,NO_DATA,NO_DATA,INCONCLUSIVE,INCONCLUSIVE,LOW,"Signals are mixed, partially missing, or do not cross deterministic thresholds for confident classification.",,False
Kampli (Bellary),Bellary,Kampli,15.4,76.6,2024-07-04,2024-08-26,2024-09-21,Kharif,2024,0.3834,-0.0929,,False,-0.3696,0.1541,7.38,100.0,,,-9.34,-16.93,1,303.7,265.33,-14.46,0,,,Rice,,4113.0,,3,0.0,150000,NO_DATA,False,NO_DATA,NO_DATA,INCONCLUSIVE,INCONCLUSIVE,LOW,NDVI is cloud-contaminated (ndvi_reliable=False) and no SAR VV/VH fallback data is available. Cannot evaluate vegetation loss.,"The claim is labeled INCONCLUSIVE. Because cloud cover exceeded 50%, NDVI was unreliable and SAR VV backscatter was used as the vegetation proxy, but the vegetation",False
Humnabad (Bidar),Bidar,Humnabad,17.7667,76.9333,2024-06-16,2024-08-10,2024-09-04,Kharif,2024,0.0428,-0.024,,False,-0.047,0.0139,100.0,100.0,-10.03,-19.48,-7.39,-14.42,1,884.5,477.64,-85.18,0,,,Rice,,1703.0,,3,101484.13,126000,FALSE,False,NO_DATA,NO_DATA,INCONCLUSIVE,MISMATCH,HIGH,"No significant SAR_VV change observed (delta=2.64, threshold=-0.5), contradicting crop loss claim.",,False
Basavakalyan (Bidar),Bidar,Basavakalyan,17.87,76.95,2024-06-14,2024-08-08,2024-09-02,Kharif,2024,0.023,-0.0197,,False,-0.0193,0.0065,100.0,100.0,-6.18,-15.03,-6.06,-15.23,1,840.9,483.41,-73.95,0,,,Rice,,1703.0,,4,132647.81,200000,FALSE,False,NO_DATA,NO_DATA,INCONCLUSIVE,MISMATCH,HIGH,"No significant SAR_VV change observed (delta=0.12, threshold=-0.5), contradicting crop loss claim.","NDVI was unreliable because cloud cover exceeded 50 %, so SAR VV backscatter was used as the vegetation proxy, showing a vegetation change of 0.12 dB. The rainfall deficit is –73.95 %, indicating a significant lack of precipitation. No K",False
Bhalki (Bidar),Bidar,Bhalki,18.0483,76.3233,2024-06-12,2024-08-05,2024-08-30,Kharif,2024,0.0085,0.086,,False,0.0072,-0.0598,100.0,100.0,-7.69,-15.99,-8.0,-15.07,1,753.9,477.18,-57.99,0,,,Rice,,1703.0,,4,119751.83,192000,FALSE,False,NO_DATA,NO_DATA,INCONCLUSIVE,MISMATCH,HIGH,"No significant SAR_VV change observed (delta=-0.31, threshold=-0.5), contradicting crop loss claim.","The claim is labeled INCONCLUSIVE. NDVI was unreliable because cloud cover exceeded 50 %, so SAR VV backscatter was used as the vegetation proxy, indicating a vegetation change of –0.31 dB. Rainfall deficit was –57.99 %, with no KSDMA drought declaration and DES historical yield loss data not available",False
Aurad (Bidar),Bidar,Aurad,17.4667,77.2167,2024-06-18,2024-08-12,2024-09-06,Kharif,2024,0.0448,0.45,,False,-0.0372,-0.3699,100.0,74.66,-10.53,-22.49,-7.77,-14.17,1,894.3,493.52,-81.21,0,,,Rice,,1703.0,,4,97391.92,185000,FALSE,False,NO_DATA,NO_DATA,INCONCLUSIVE,MISMATCH,HIGH,"No significant SAR_VV change observed (delta=2.76, threshold=-0.5), contradicting crop loss claim.","The claim is labeled **INCONCLUSIVE**.  
Because cloud cover exceeded 50 %, NDVI was unreliable and SAR VV backscatter was used as the vegetation",False
Hoovina Hadagali (Bellary),Bellary,Hoovina Hadagali,14.8,75.9333,2024-07-02,2024-08-24,2024-09-19,Kharif,2024,0.1064,0.2587,,False,-0.1145,-0.2313,100.0,42.29,-11.54,-19.97,,,1,574.4,337.48,-70.2,0,,,Rice,,4113.0,,3,109461.46,157000,NO_DATA,False,NO_DATA,NO_DATA,INCONCLUSIVE,INCONCLUSIVE,LOW,NDVI is cloud-contaminated (ndvi_reliable=False) and no SAR VV/VH fallback data is available. Cannot evaluate vegetation loss.,"The claim is marked as inconclusive. Because NDVI was unreliable due to more than 50 % cloud cover, SAR VV backscatter was used as the vegetation proxy. The rainfall deficit is reported at –70.2 %, while vegetation change and historical yield loss data are not available.",False
Gudur (Raichur),Raichur,Gudur,16.2283,76.8283,2024-07-11,2024-09-04,2024-10-01,Kharif,2024,0.2939,0.7207,0.4268,True,-0.4085,-0.6688,0.0,7.63,,,,,0,503.3,386.58,-30.19,0,,,Rice,,3755.0,,3,62069.09,172000,FALSE,False,NO_DATA,NO_DATA,INCONCLUSIVE,MISMATCH,HIGH,"No significant NDVI change observed (delta=0.43, threshold=-0.05), contradicting crop loss claim.",,False
Maski (Raichur),Raichur,Maski,15.96,76.66,2024-07-09,2024-09-02,2024-09-29,Kharif,2024,0.1597,0.259,,False,-0.1508,-0.2331,100.0,100.0,-8.08,-16.52,-7.46,-15.1,1,397.3,346.31,-14.72,0,,,Rice,,3755.0,,2,0.0,100000,FALSE,False,NO_DATA,NO_DATA,INCONCLUSIVE,MISMATCH,HIGH,"No significant SAR_VV change observed (delta=0.62, threshold=-0.5), contradicting crop loss claim.","NDVI was not reliable because cloud cover exceeded 50 %, so SAR VV backscatter was used as the vegetation proxy. The vegetation signal showed a change of 0.62 dB, while rainfall was 14.72 % below normal. No KSDMA drought declaration is available and historical yield loss data is missing.",False
Challakere (Chitradurga),Chitradurga,Challakere,14.3167,76.65,2024-07-04,2024-08-27,2024-09-22,Kharif,2024,0.2506,0.254,,False,-0.2944,-0.2731,0.0,63.52,,,-7.54,-14.73,1,300.0,236.72,-26.73,0,,,Rice,,2669.0,,4,83184.3,184000,NO_DATA,False,NO_DATA,NO_DATA,INCONCLUSIVE,INCONCLUSIVE,LOW,NDVI is cloud-contaminated (ndvi_reliable=False) and no SAR VV/VH fallback data is available. Cannot evaluate vegetation loss.,The claim is labeled **INCONCLUSIVE**. Because cloud cover,False
Hiriyur (Chitradurga),Chitradurga,Hiriyur,13.945,76.6183,2024-07-06,2024-08-29,2024-09-25,Kharif,2024,0.0512,-0.015,,False,-0.0452,0.0182,100.0,100.0,-7.57,-14.55,-8.01,-15.15,1,382.1,271.65,-40.66,0,,,Rice,,2669.0,,3,49225.18,120000,FALSE,False,NO_DATA,NO_DATA,INCONCLUSIVE,MISMATCH,HIGH,"No significant SAR_VV change observed (delta=-0.44, threshold=-0.5), contradicting crop loss claim.",,False
Holalkere (Chitradurga),Chitradurga,Holalkere,14.0333,76.1833,2024-07-01,2024-08-24,2024-09-19,Kharif,2024,0.3467,-0.0343,,False,-0.326,0.0584,87.95,100.0,-8.75,-16.45,-9.3,-16.16,1,487.3,359.1,-35.7,0,,,Rice,,2669.0,,2,74168.53,107000,FALSE,False,NO_DATA,NO_DATA,INCONCLUSIVE,INCONCLUSIVE,LOW,"Signals are mixed, partially missing, or do not cross deterministic thresholds for confident classification.",The claim,False
Hosadurga (Chitradurga),Chitradurga,Hosadurga,13.8,76.2833,2024-07-03,2024-08-26,2024-09-20,Kharif,2024,0.1092,0.3422,,False,-0.0998,-0.3446,100.0,61.83,-5.97,-14.89,-6.46,-15.45,1,430.4,321.26,-33.97,0,,,Rice,,2669.0,,4,131797.06,207000,FALSE,False,NO_DATA,NO_DATA,INCONCLUSIVE,MISMATCH,HIGH,"No significant SAR_VV change observed (delta=-0.49, threshold=-0.5), contradicting crop loss claim.",,False
Molakalmuru (Chitradurga),Chitradurga,Molakalmuru,14.7333,76.75,2024-07-08,2024-09-02,2024-09-28,Kharif,2024,0.2195,0.3773,,False,-0.2049,-0.3561,100.0,72.76,-8.78,-15.78,-8.08,-14.96,1,289.4,239.67,-20.75,0,,,Rice,,2669.0,,1,20015.14,42000,FALSE,False,NO_DATA,NO_DATA,INCONCLUSIVE,MISMATCH,HIGH,"No significant SAR_VV change observed (delta=0.70, threshold=-0.5), contradicting crop loss claim.",,False
Harihara (Davanagere),Davanagere,Harihara,14.5167,75.8,2024-06-25,2024-08-18,2024-09-12,Kharif,2024,0.3883,-0.002,,False,-0.3438,0.0234,100.0,100.0,-8.46,-15.92,-8.78,-16.62,1,561.1,419.53,-33.74,0,,,Rice,,3810.0,,2,45397.76,100000,FALSE,False,NO_DATA,NO_DATA,INCONCLUSIVE,MISMATCH,HIGH,"No significant SAR_VV change observed (delta=-0.32, threshold=-0.5), contradicting crop loss claim.","The claim is labeled **INCONCLUSIVE**.  
Because NDVI was unreliable (cloud cover > 50 %), SAR VV backscatter was used as the vegetation proxy, indicating a",False
Channagiri (Davanagere),Davanagere,Channagiri,14.0267,75.9283,2024-06-28,2024-08-22,2024-09-16,Kharif,2024,0.1971,0.431,,False,-0.1908,-0.436,100.0,0.0,-5.16,-14.19,,,1,603.8,423.25,-42.66,0,,,Rice,,3810.0,,1,23656.59,42000,NO_DATA,False,NO_DATA,NO_DATA,INCONCLUSIVE,INCONCLUSIVE,LOW,NDVI is cloud-contaminated (ndvi_reliable=False) and no SAR VV/VH fallback data is available. Cannot evaluate vegetation loss.,The claim is labeled **INCONCLUSIVE**. Because NDVI was,False
Honnali (Davanagere),Davanagere,Honnali,14.2467,75.6433,2024-06-22,2024-08-15,2024-09-10,Kharif,2024,-0.0033,0.3392,,False,0.0216,-0.2977,100.0,97.84,-9.47,-16.38,-9.84,-16.89,1,539.4,439.82,-22.64,0,,,Rice,,3810.0,,4,67593.81,207000,FALSE,False,NO_DATA,NO_DATA,INCONCLUSIVE,MISMATCH,HIGH,"No significant SAR_VV change observed (delta=-0.37, threshold=-0.5), contradicting crop loss claim.",The claim,False
Jagalur (Davanagere),Davanagere,Jagalur,14.5333,76.35,2024-07-05,2024-08-28,2024-09-24,Kharif,2024,0.0383,0.5658,,False,-0.0451,-0.5279,100.0,14.78,-10.44,-20.19,,,1,365.9,348.0,-5.14,0,,,Rice,,3810.0,,2,26687.38,115000,NO_DATA,False,NO_DATA,NO_DATA,INCONCLUSIVE,INCONCLUSIVE,LOW,NDVI is cloud-contaminated (ndvi_reliable=False) and no SAR VV/VH fallback data is available. Cannot evaluate vegetation loss.,,False
Nyamathi (Davanagere),Davanagere,Nyamathi,14.15,75.5833,2024-06-24,2024-08-17,2024-09-11,Kharif,2024,-0.0176,0.5975,,False,0.0353,-0.5295,100.0,72.2,-10.15,-19.6,-7.36,-13.94,1,557.1,507.89,-9.69,0,,,Rice,,3810.0,,2,0.0,77000,FALSE,False,NO_DATA,NO_DATA,INCONCLUSIVE,MISMATCH,HIGH,"No significant SAR_VV change observed (delta=2.79, threshold=-0.5), contradicting crop loss claim.","NDVI was unreliable because cloud cover exceeded 50 %, so SAR VV backscatter was used as the vegetation proxy. The vegetation signal changed by 2.79 dB, and rainfall was 9.69 % below normal. No KSDMA drought declaration",False
Tiptur (Tumakuru),Tumakuru,Tiptur,13.2556,76.4783,2024-07-02,2024-08-25,2024-09-20,Kharif,2024,0.1046,0.313,,False,-0.0946,-0.3326,100.0,30.82,-5.22,-14.88,,,1,499.0,382.64,-30.41,0,,,Rice,,3029.0,,2,78668.63,92000,NO_DATA,False,NO_DATA,NO_DATA,INCONCLUSIVE,INCONCLUSIVE,LOW,NDVI is cloud-contaminated (ndvi_reliable=False) and no SAR VV/VH fallback data is available. Cannot evaluate vegetation loss.,,False
Kunigal (Tumakuru),Tumakuru,Kunigal,13.0233,77.0367,2024-07-05,2024-08-28,2024-09-23,Kharif,2024,0.1877,0.5539,,False,-0.1758,-0.5226,100.0,0.0,-10.21,-16.89,,,1,474.0,366.44,-29.35,0,,,Rice,,3029.0,,3,79407.52,119000,NO_DATA,False,NO_DATA,NO_DATA,INCONCLUSIVE,INCONCLUSIVE,LOW,NDVI is cloud-contaminated (ndvi_reliable=False) and no SAR VV/VH fallback data is available. Cannot evaluate vegetation loss.,,False
Madhugiri (Tumakuru),Tumakuru,Madhugiri,13.66,77.21,2024-07-08,2024-09-01,2024-09-27,Kharif,2024,-0.0438,0.392,,False,0.0956,-0.379,100.0,1.14,-6.17,-15.96,,,1,370.8,288.83,-28.38,0,,,Rice,,3029.0,,1,39811.35,42000,NO_DATA,False,NO_DATA,NO_DATA,INCONCLUSIVE,INCONCLUSIVE,LOW,NDVI is cloud-contaminated (ndvi_reliable=False) and no SAR VV/VH fallback data is available. Cannot evaluate vegetation loss.,The claim is marked as INCONCLUSIVE. Because cloud cover,False
Sira (Tumakuru),Tumakuru,Sira,13.7433,76.9033,2024-07-04,2024-08-27,2024-09-22,Kharif,2024,0.2338,0.235,,False,-0.2588,-0.2657,70.31,3.57,-4.99,-15.53,,,1,479.5,300.92,-59.34,0,,,Rice,,3029.0,,3,45306.18,127000,NO_DATA,False,NO_DATA,NO_DATA,INCONCLUSIVE,INCONCLUSIVE,LOW,NDVI is cloud-contaminated (ndvi_reliable=False) and no SAR VV/VH fallback data is available. Cannot evaluate vegetation loss.,The,False
Pavagada (Tumakuru),Tumakuru,Pavagada,14.1,77.2833,2024-07-10,2024-09-03,2024-09-30,Kharif,2024,0.2995,0.3288,,False,-0.3067,-0.3195,45.83,82.25,,,-6.54,-13.81,1,268.6,276.94,3.01,0,,,Rice,,3029.0,,1,0.0,42000,NO_DATA,False,NO_DATA,NO_DATA,INCONCLUSIVE,INCONCLUSIVE,LOW,NDVI is cloud-contaminated (ndvi_reliable=False) and no SAR VV/VH fallback data is available. Cannot evaluate vegetation loss.,"NDVI was unreliable because cloud cover exceeded 50 %, so SAR VV backscatter was used as the vegetation proxy. The vegetation change value is not available, and the rainfall deficit is 3.01 %. No KSDMA drought declaration or DES historical yield loss data is provided.",False
Gubbi (Tumakuru),Tumakuru,Gubbi,13.3117,76.9383,2024-07-03,2024-08-26,2024-09-21,Kharif,2024,0.1253,0.3766,,False,-0.1082,-0.3888,100.0,16.25,-5.47,-14.13,,,1,467.4,372.14,-25.6,0,,,Rice,,3029.0,,3,73453.13,142000,NO_DATA,False,NO_DATA,NO_DATA,INCONCLUSIVE,INCONCLUSIVE,LOW,NDVI is cloud-contaminated (ndvi_reliable=False) and no SAR VV/VH fallback data is available. Cannot evaluate vegetation loss.,,False
Turuvekere (Tumakuru),Tumakuru,Turuvekere,13.16,76.6667,2024-07-01,2024-08-23,2024-09-18,Kharif,2024,0.227,0.1885,,False,-0.218,-0.1426,100.0,91.26,-6.23,-15.47,-6.25,-15.27,1,454.4,346.07,-31.3,0,,,Rice,,3029.0,,4,111974.7,184000,FALSE,False,NO_DATA,NO_DATA,INCONCLUSIVE,MISMATCH,HIGH,"No significant SAR_VV change observed (delta=-0.02, threshold=-0.5), contradicting crop loss claim.","The claim is labeled **INCONCLUSIVE**. Because NDVI was unreliable due to over 50 % cloud cover, SAR VV backscatter was used as the vegetation proxy",False
Chikkanayakanahalli (Tumakuru),Tumakuru,Chikkanayakanahalli,13.4167,76.6167,2024-07-02,2024-08-25,2024-09-19,Kharif,2024,0.169,0.4221,,False,-0.1521,-0.4227,100.0,24.97,-7.47,-15.53,,,1,423.6,338.77,-25.04,0,,,Rice,,3029.0,,4,68423.92,192000,NO_DATA,False,NO_DATA,NO_DATA,INCONCLUSIVE,INCONCLUSIVE,LOW,NDVI is cloud-contaminated (ndvi_reliable=False) and no SAR VV/VH fallback data is available. Cannot evaluate vegetation loss.,"The claim is marked **INCONCLUSIVE**. Because cloud cover exceeded 50 %, NDVI was unreliable and SAR VV backscatter was used as the vegetation proxy, but the vegetation change value is not available. Rainfall was ",False
Bhadravati (Shivamogga),Shivamogga,Bhadravati,13.84,75.7,2024-06-18,2024-08-10,2024-09-05,Kharif,2024,0.0467,0.0294,,False,-0.0496,-0.0188,100.0,100.0,-7.0,-13.95,-6.67,-13.64,1,692.3,496.27,-39.5,0,,,Rice,,2879.0,,2,71305.25,92000,FALSE,False,NO_DATA,NO_DATA,INCONCLUSIVE,MISMATCH,HIGH,"No significant SAR_VV change observed (delta=0.33, threshold=-0.5), contradicting crop loss claim.","NDVI was unreliable because cloud cover exceeded 50 %, so SAR VV backscatter was used as the vegetation proxy. The vegetation signal change was 0.33 dB, and the rainfall deficit was –39.5 %.",False
Shikaripura (Shivamogga),Shivamogga,Shikaripura,14.27,75.35,2024-06-20,2024-08-14,2024-09-08,Kharif,2024,0.4316,0.4111,,False,-0.4168,-0.3759,0.0,94.42,,,-6.78,-14.76,1,755.9,649.8,-16.33,0,,,Rice,,2879.0,,4,69974.72,215000,NO_DATA,False,NO_DATA,NO_DATA,INCONCLUSIVE,INCONCLUSIVE,LOW,NDVI is cloud-contaminated (ndvi_reliable=False) and no SAR VV/VH fallback data is available. Cannot evaluate vegetation loss.,"The claim is labeled INCONCLUSIVE. Because more than 50 % cloud cover made NDVI unreliable,",False
Soraba (Shivamogga),Shivamogga,Soraba,14.3833,75.1,2024-06-15,2024-08-08,2024-09-02,Kharif,2024,0.2678,0.216,,False,-0.2303,-0.1722,100.0,100.0,-8.25,-15.35,-7.94,-15.28,1,919.9,872.26,-5.46,0,,,Rice,,2879.0,,4,56092.69,169000,FALSE,False,NO_DATA,NO_DATA,INCONCLUSIVE,MISMATCH,HIGH,"No significant SAR_VV change observed (delta=0.31, threshold=-0.5), contradicting crop loss claim.","The claim is labeled INCONCLUSIVE, and because NDVI was unreliable (cloud cover >50%), SAR VV backscatter was used as the vegetation proxy. The vegetation",False
Sagar (Shivamogga),Shivamogga,Sagar,14.1667,75.0333,2024-06-16,2024-08-09,2024-09-04,Kharif,2024,0.0676,0.077,,False,-0.0524,-0.0435,100.0,100.0,-6.92,-14.64,-6.91,-14.66,1,1173.3,1198.43,2.1,0,,,Rice,,2879.0,,1,0.0,50000,FALSE,False,NO_DATA,NO_DATA,INCONCLUSIVE,MISMATCH,HIGH,"No significant SAR_VV change observed (delta=0.01, threshold=-0.5), contradicting crop loss claim.",,False
Thirthahalli (Shivamogga),Shivamogga,Thirthahalli,13.7,75.2333,2024-06-12,2024-08-05,2024-09-01,Kharif,2024,0.3569,0.6571,,False,-0.3141,-0.5671,100.0,0.0,-7.44,-14.28,,,1,1301.6,1145.55,-13.62,0,,,Rice,,2879.0,,4,94030.41,192000,NO_DATA,False,NO_DATA,NO_DATA,INCONCLUSIVE,INCONCLUSIVE,LOW,NDVI is cloud-contaminated (ndvi_reliable=False) and no SAR VV/VH fallback data is available. Cannot evaluate vegetation loss.,,False
Nanjangud (Mysuru),Mysuru,Nanjangud,12.1167,76.6833,2024-06-25,2024-08-18,2024-09-14,Kharif,2024,-0.026,0.3463,,False,0.0425,-0.3417,100.0,12.28,-6.22,-13.99,,,1,435.5,295.68,-47.29,0,,,Rice,,3321.0,,3,60442.81,142000,NO_DATA,False,NO_DATA,NO_DATA,INCONCLUSIVE,INCONCLUSIVE,LOW,NDVI is cloud-contaminated (ndvi_reliable=False) and no SAR VV/VH fallback data is available. Cannot evaluate vegetation loss.,"The claim is labeled **INCONCLUSIVE**. Because cloud cover exceeded 50 %, NDVI was unreliable",False
Hunsur (Mysuru),Mysuru,Hunsur,12.31,76.29,2024-06-22,2024-08-15,2024-09-10,Kharif,2024,0.4176,0.412,-0.0056,True,-0.4032,-0.3965,26.06,45.0,,,,,0,527.8,442.2,-19.36,0,,,Rice,,3321.0,,1,41742.28,65000,FALSE,False,NO_DATA,NO_DATA,INCONCLUSIVE,MISMATCH,HIGH,"No significant NDVI change observed (delta=-0.01, threshold=-0.05), contradicting crop loss claim.",,False
Piriyapatna (Mysuru),Mysuru,Piriyapatna,12.34,76.1,2024-06-20,2024-08-12,2024-09-08,Kharif,2024,0.2577,0.5966,,False,-0.2174,-0.513,100.0,0.0,-6.8,-15.41,,,1,599.7,738.34,18.78,0,,,Rice,,3321.0,,1,0.0,35000,NO_DATA,False,NO_DATA,NO_DATA,INCONCLUSIVE,INCONCLUSIVE,LOW,NDVI is cloud-contaminated (ndvi_reliable=False) and no SAR VV/VH fallback data is available. Cannot evaluate vegetation loss.,The claim is labeled,False
T. Narasipura (Mysuru),Mysuru,T. Narasipura,12.2133,76.9033,2024-06-28,2024-08-20,2024-09-16,Kharif,2024,0.0609,0.3164,,False,-0.0593,-0.3148,100.0,31.91,-6.62,-15.16,,,1,381.5,303.98,-25.5,0,,,Rice,,3321.0,,3,66137.02,134000,NO_DATA,False,NO_DATA,NO_DATA,INCONCLUSIVE,INCONCLUSIVE,LOW,NDVI is cloud-contaminated (ndvi_reliable=False) and no SAR VV/VH fallback data is available. Cannot evaluate vegetation loss.,"The claim is labeled INCONCLUSIVE. NDVI was unreliable because cloud cover exceeded 50 %,",False
Heggadadevankote (Mysuru),Mysuru,Heggadadevankote,11.9167,76.3333,2024-06-24,2024-08-16,2024-09-12,Kharif,2024,0.4497,0.6992,,False,-0.4125,-0.6232,73.04,28.27,-6.97,-13.6,,,1,571.9,509.97,-12.14,0,,,Rice,,3321.0,,4,0.0,192000,NO_DATA,False,NO_DATA,NO_DATA,INCONCLUSIVE,INCONCLUSIVE,LOW,NDVI is cloud-contaminated (ndvi_reliable=False) and no SAR VV/VH fallback data is available. Cannot evaluate vegetation loss.,"The claim is marked as INCONCLUSIVE. Because cloud cover exceeded 50 %, NDVI was unreliable and SAR VV backscatter was used as the vegetation proxy,",False
Maddur (Mandya),Mandya,Maddur,12.5833,77.05,2024-07-02,2024-08-24,2024-09-20,Kharif,2024,0.0463,0.4045,,False,-0.0434,-0.3887,100.0,28.54,-7.91,-14.71,,,1,448.6,313.95,-42.89,0,,,Rice,,3192.0,,4,83673.17,184000,NO_DATA,False,NO_DATA,NO_DATA,INCONCLUSIVE,INCONCLUSIVE,LOW,NDVI is cloud-contaminated (ndvi_reliable=False) and no SAR VV/VH fallback data is available. Cannot evaluate vegetation loss.,"The claim is labeled **INCONCLUSIVE**.  
NDVI was unreliable because cloud cover exceeded 50%, so SAR VV backscatter was used as the vegetation proxy",False
Malavalli (Mandya),Mandya,Malavalli,12.3867,77.0567,2024-07-05,2024-08-28,2024-09-24,Kharif,2024,0.0488,0.1824,,False,-0.0485,-0.156,100.0,97.88,-6.64,-14.24,-7.06,-14.72,1,382.3,314.14,-21.7,0,,,Rice,,3192.0,,4,0.0,207000,FALSE,False,NO_DATA,NO_DATA,INCONCLUSIVE,MISMATCH,HIGH,"No significant SAR_VV change observed (delta=-0.42, threshold=-0.5), contradicting crop loss claim.","The claim is marked as INCONCLUSIVE because the NDVI data was unreliable due to more than 50 % cloud cover, so SAR VV backscatter",False
Pandavapura (Mandya),Mandya,Pandavapura,12.4933,76.6667,2024-06-28,2024-08-21,2024-09-17,Kharif,2024,0.1436,0.4896,,False,-0.1309,-0.4573,100.0,36.3,-8.09,-15.1,,,1,402.3,301.03,-33.64,0,,,Rice,,3192.0,,4,124431.23,215000,NO_DATA,False,NO_DATA,NO_DATA,INCONCLUSIVE,INCONCLUSIVE,LOW,NDVI is cloud-contaminated (ndvi_reliable=False) and no SAR VV/VH fallback data is available. Cannot evaluate vegetation loss.,"The claim is marked **INCONCLUSIVE**. Because NDVI was unreliable due to over 50 % cloud cover, SAR VV backscatter was used as",False
