village_name,district,taluk,latitude,longitude,sowing_date,loss_window_start,loss_window_end,season,year,pre_loss_ndvi,post_loss_ndvi,ndvi_change,pre_loss_ndwi,post_loss_ndwi,s2_cloud_pct_pre,s2_cloud_pct_post,s1_vv_db_pre,s1_vh_db_pre,s1_vv_db_post,s1_vh_db_post,s1_fallback_used,actual_rainfall_mm,normal_rainfall_mm,rainfall_deficit_pct,drought_rainfall_flag,ksdma_officially_declared_drought,ksdma_drought_severity,crop_name,des_historical_avg_yield_kg_ha,des_current_yield_kg_ha,des_yield_loss_pct,ndvi_supports_loss,rainfall_supports_drought,ksdma_supports_loss,yield_supports_loss,multimodal_verdict
Madhugiri (Tumakuru),Tumakuru,Madhugiri,13.66,77.21,2024-07-08,2024-09-01,2024-09-27,Kharif,2024,-0.0438,0.392,0.4358,0.0956,-0.379,100.0,1.14,-6.17,-15.96,,,0,370.8,288.83,-28.38,0,1,Severe,Rice,3165.2,3029.0,4.3,FALSE,FALSE,TRUE,FALSE,INCONSISTENT
Sira (Tumakuru),Tumakuru,Sira,13.7433,76.9033,2024-07-04,2024-08-27,2024-09-22,Kharif,2024,0.2338,0.235,0.0012,-0.2588,-0.2657,70.31,3.57,-4.99,-15.53,,,0,479.5,300.92,-59.34,0,1,Severe,Rice,3165.2,3029.0,4.3,FALSE,FALSE,TRUE,FALSE,INCONSISTENT
Pavagada (Tumakuru),Tumakuru,Pavagada,14.1,77.2833,2024-07-10,2024-09-03,2024-09-30,Kharif,2024,0.2995,0.3288,0.0293,-0.3067,-0.3195,45.83,82.25,,,-6.54,-13.81,0,268.6,276.94,3.01,0,1,Severe,Rice,3165.2,3029.0,4.3,FALSE,FALSE,TRUE,FALSE,INCONSISTENT
Gubbi (Tumakuru),Tumakuru,Gubbi,13.3117,76.9383,2024-07-03,2024-08-26,2024-09-21,Kharif,2024,0.1253,0.3766,0.2513,-0.1082,-0.3888,100.0,16.25,-5.47,-14.13,,,0,467.4,372.14,-25.6,0,1,Severe,Rice,3165.2,3029.0,4.3,FALSE,FALSE,TRUE,FALSE,INCONSISTENT
Turuvekere (Tumakuru),Tumakuru,Turuvekere,13.16,76.6667,2024-07-01,2024-08-23,2024-09-18,Kharif,2024,0.227,0.1885,-0.0385,-0.218,-0.1426,100.0,91.26,-6.23,-15.47,-6.25,-15.27,0,454.4,346.07,-31.3,0,1,Severe,Rice,3165.2,3029.0,4.3,FALSE,FALSE,TRUE,FALSE,INCONSISTENT
Chikkanayakanahalli (Tumakuru),Tumakuru,Chikkanayakanahalli,13.4167,76.6167,2024-07-02,2024-08-25,2024-09-19,Kharif,2024,0.169,0.4221,0.2531,-0.1521,-0.4227,100.0,24.97,-7.47,-15.53,,,0,423.6,338.77,-25.04,0,1,Severe,Rice,3165.2,3029.0,4.3,FALSE,FALSE,TRUE,FALSE,INCONSISTENT
Bhadravati (Shivamogga),Shivamogga,Bhadravati,13.84,75.7,2024-06-18,2024-08-10,2024-09-05,Kharif,2024,0.0467,0.0294,-0.0173,-0.0496,-0.0188,100.0,100.0,-7.0,-13.95,-6.67,-13.64,0,692.3,496.27,-39.5,0,1,Moderate,Rice,3165.2,2879.0,9.04,FALSE,FALSE,TRUE,FALSE,INCONSISTENT
Shikaripura (Shivamogga),Shivamogga,Shikaripura,14.27,75.35,2024-06-20,2024-08-14,2024-09-08,Kharif,2024,0.4316,0.4111,-0.0205,-0.4168,-0.3759,0.0,94.42,,,-6.78,-14.76,0,755.9,649.8,-16.33,0,1,Severe,Rice,3165.2,2879.0,9.04,FALSE,FALSE,TRUE,FALSE,INCONSISTENT
Soraba (Shivamogga),Shivamogga,Soraba,14.3833,75.1,2024-06-15,2024-08-08,2024-09-02,Kharif,2024,0.2678,0.216,-0.0518,-0.2303,-0.1722,100.0,100.0,-8.25,-15.35,-7.94,-15.28,0,919.9,872.26,-5.46,0,1,Moderate,Rice,3165.2,2879.0,9.04,FALSE,FALSE,TRUE,FALSE,INCONSISTENT
Sagar (Shivamogga),Shivamogga,Sagar,14.1667,75.0333,2024-06-16,2024-08-09,2024-09-04,Kharif,2024,0.0676,0.077,0.0094,-0.0524,-0.0435,100.0,100.0,-6.92,-14.64,-6.91,-14.66,0,1173.3,1198.43,2.1,0,1,Moderate,Rice,3165.2,2879.0,9.04,FALSE,FALSE,TRUE,FALSE,INCONSISTENT
Thirthahalli (Shivamogga),Shivamogga,Thirthahalli,13.7,75.2333,2024-06-12,2024-08-05,2024-09-01,Kharif,2024,0.3569,0.6571,0.3002,-0.3141,-0.5671,100.0,0.0,-7.44,-14.28,,,0,1301.6,1145.55,-13.62,0,1,Moderate,Rice,3165.2,2879.0,9.04,FALSE,FALSE,TRUE,FALSE,INCONSISTENT
Nanjangud (Mysuru),Mysuru,Nanjangud,12.1167,76.6833,2024-06-25,2024-08-18,2024-09-14,Kharif,2024,-0.026,0.3463,0.3723,0.0425,-0.3417,100.0,12.28,-6.22,-13.99,,,0,435.5,295.68,-47.29,0,1,Severe,Rice,3165.2,3321.0,-4.92,FALSE,FALSE,TRUE,FALSE,INCONSISTENT
Hunsur (Mysuru),Mysuru,Hunsur,12.31,76.29,2024-06-22,2024-08-15,2024-09-10,Kharif,2024,0.4176,0.412,-0.0056,-0.4032,-0.3965,26.06,45.0,,,,,0,527.8,442.2,-19.36,0,1,Severe,Rice,3165.2,3321.0,-4.92,FALSE,FALSE,TRUE,FALSE,INCONSISTENT
Piriyapatna (Mysuru),Mysuru,Piriyapatna,12.34,76.1,2024-06-20,2024-08-12,2024-09-08,Kharif,2024,0.2577,0.5966,0.3389,-0.2174,-0.513,100.0,0.0,-6.8,-15.41,,,0,599.7,738.34,18.78,0,1,Severe,Rice,3165.2,3321.0,-4.92,FALSE,FALSE,TRUE,FALSE,INCONSISTENT
T. Narasipura (Mysuru),Mysuru,T. Narasipura,12.2133,76.9033,2024-06-28,2024-08-20,2024-09-16,Kharif,2024,0.0609,0.3164,0.2555,-0.0593,-0.3148,100.0,31.91,-6.62,-15.16,,,0,381.5,303.98,-25.5,0,1,Severe,Rice,3165.2,3321.0,-4.92,FALSE,FALSE,TRUE,FALSE,INCONSISTENT
Heggadadevankote (Mysuru),Mysuru,Heggadadevankote,11.9167,76.3333,2024-06-24,2024-08-16,2024-09-12,Kharif,2024,0.4497,0.6992,0.2495,-0.4125,-0.6232,73.04,28.27,-6.97,-13.6,,,0,571.9,509.97,-12.14,0,1,Moderate,Rice,3165.2,3321.0,-4.92,FALSE,FALSE,TRUE,FALSE,INCONSISTENT
Maddur (Mandya),Mandya,Maddur,12.5833,77.05,2024-07-02,2024-08-24,2024-09-20,Kharif,2024,0.0463,0.4045,0.3582,-0.0434,-0.3887,100.0,28.54,-7.91,-14.71,,,0,448.6,313.95,-42.89,0,1,Severe,Rice,3165.2,3192.0,-0.85,FALSE,FALSE,TRUE,FALSE,INCONSISTENT
Malavalli (Mandya),Mandya,Malavalli,12.3867,77.0567,2024-07-05,2024-08-28,2024-09-24,Kharif,2024,0.0488,0.1824,0.1336,-0.0485,-0.156,100.0,97.88,-6.64,-14.24,-7.06,-14.72,0,382.3,314.14,-21.7,0,1,Severe,Rice,3165.2,3192.0,-0.85,FALSE,FALSE,TRUE,FALSE,INCONSISTENT
Pandavapura (Mandya),Mandya,Pandavapura,12.4933,76.6667,2024-06-28,2024-08-21,2024-09-17,Kharif,2024,0.1436,0.4896,0.346,-0.1309,-0.4573,100.0,36.3,-8.09,-15.1,,,0,402.3,301.03,-33.64,0,1,Severe,Rice,3165.2,3192.0,-0.85,FALSE,FALSE,TRUE,FALSE,INCONSISTENT
Krishnarajpet (Mandya),Mandya,Krishnarajpet,12.66,76.49,2024-06-30,2024-08-22,2024-09-18,Kharif,2024,0.294,0.4355,0.1415,-0.2679,-0.4299,96.32,0.86,-5.33,-14.1,,,0,461.0,375.67,-22.71,0,1,Severe,Rice,3165.2,3192.0,-0.85,FALSE,FALSE,TRUE,FALSE,INCONSISTENT
Kollegal (Chamarajanagar),Chamarajanagar,Kollegal,12.155,77.1183,2024-07-06,2024-08-30,2024-09-26,Kharif,2024,0.0611,0.3899,0.3288,-0.06,-0.3434,100.0,0.0,-6.91,-15.94,,,0,377.8,305.17,-23.8,0,1,Severe,Rice,3165.2,3310.0,-4.57,FALSE,FALSE,TRUE,FALSE,INCONSISTENT
Gundlupet (Chamarajanagar),Chamarajanagar,Gundlupet,11.8,76.6833,2024-06-26,2024-08-19,2024-09-15,Kharif,2024,0.0414,0.397,0.3556,-0.0417,-0.3915,100.0,55.06,-7.05,-14.22,-8.33,-15.34,0,411.3,337.85,-21.74,0,1,Severe,Rice,3165.2,3310.0,-4.57,FALSE,FALSE,TRUE,FALSE,INCONSISTENT
Channarayapatna (Hassan),Hassan,Channarayapatna,12.9033,76.39,2024-07-01,2024-08-24,2024-09-20,Kharif,2024,0.1222,0.1935,0.0713,-0.1186,-0.2021,100.0,79.34,-4.56,-14.97,-5.38,-15.5,0,395.0,380.66,-3.77,0,1,Severe,Rice,3165.2,3447.0,-8.9,FALSE,FALSE,TRUE,FALSE,INCONSISTENT
Arsikere (Hassan),Hassan,Arsikere,13.3133,76.2567,2024-06-28,2024-08-20,2024-09-16,Kharif,2024,0.0194,0.3404,0.321,-0.0231,-0.348,100.0,11.9,-5.61,-14.55,,,0,533.4,375.87,-41.91,0,1,Severe,Rice,3165.2,3447.0,-8.9,FALSE,FALSE,TRUE,FALSE,INCONSISTENT
Holenarasipura (Hassan),Hassan,Holenarasipura,12.79,76.24,2024-06-26,2024-08-18,2024-09-14,Kharif,2024,0.299,0.278,-0.021,-0.2699,-0.2497,91.31,47.15,-5.7,-15.26,,,0,412.5,408.55,-0.97,0,1,Severe,Rice,3165.2,3447.0,-8.9,FALSE,FALSE,TRUE,FALSE,INCONSISTENT
Kadur (Chikkamagaluru),Chikkamagaluru,Kadur,13.55,76.01,2024-06-25,2024-08-17,2024-09-12,Kharif,2024,0.0128,0.2132,0.2004,-0.0072,-0.2261,100.0,84.77,-5.87,-15.04,-6.07,-15.13,0,461.0,412.59,-11.73,0,1,Severe,Rice,3165.2,2748.0,13.18,FALSE,FALSE,TRUE,FALSE,INCONSISTENT
Tarikere (Chikkamagaluru),Chikkamagaluru,Tarikere,13.7167,75.8167,2024-06-22,2024-08-15,2024-09-10,Kharif,2024,0.0977,0.3456,0.2479,-0.0638,-0.2484,100.0,38.62,-9.83,-17.21,,,0,635.6,485.14,-31.01,0,1,Severe,Rice,3165.2,2748.0,13.18,FALSE,FALSE,TRUE,FALSE,INCONSISTENT
Gauribidanur (Chikkaballapur),Chikkaballapur,Gauribidanur,13.6117,77.5183,2024-07-04,2024-08-27,2024-09-22,Kharif,2024,0.0103,0.311,0.3007,0.0368,-0.3368,100.0,2.56,-5.07,-14.6,,,0,487.6,326.63,-49.28,0,1,Severe,Rice,3165.2,2880.0,9.01,FALSE,FALSE,TRUE,FALSE,INCONSISTENT
